Number of Comparisons : 242991
Swiss , 0.0 , 0.0 , Cheddar , 2.19 , 5.475
Cheddar , 0.0 , 0.0 , Cheddar , 4.29 , 10.725
Wensleydale , 0.0 , 0.0 , Cheddar , 12.01 , 30.025
Wensleydale , 0.0 , 0.0 , Cheddar , 17.59 , 43.975
Swiss , 0.0 , 0.0 , Wensleydale , 3.72 , 51.150000000000006
Cheddar , 0.0 , 0.0 , Swiss , 6.44 , 61.18000000000001
Wensleydale , 0.0 , 0.0 , Wensleydale , 4.92 , 67.65
Wensleydale , 0.0 , 0.0 , Cheddar , 27.82 , 69.55
Swiss , 0.0 , 0.0 , Cheddar , 28.92 , 72.30000000000001
Wensleydale , 0.0 , 0.0 , Cheddar , 42.3 , 105.75
Cheddar , 0.0 , 0.0 , Swiss , 15.94 , 151.43
Swiss , 0.0 , 0.0 , Wensleydale , 40.94 , 562.925
Cheddar , 0.01 , 0.025 , Swiss , 11.52 , 0.0
Swiss , 0.01 , 0.095 , Wensleydale , 13.56 , 0.0
Cheddar , 0.06 , 0.15 , Wensleydale , 81.88 , 0.0
Cheddar , 0.11 , 0.275 , Cheddar , 11.69 , 0.0
Cheddar , 0.14 , 0.35000000000000003 , Swiss , 28.51 , 0.0
Cheddar , 0.21 , 0.525 , Wensleydale , 13.9 , 0.0
Cheddar , 0.27 , 0.675 , Cheddar , 83.41 , 0.0
Cheddar , 0.28 , 0.7000000000000001 , Swiss , 3.97 , 0.0
Cheddar , 0.38 , 0.95 , Wensleydale , 23.03 , 0.0
Swiss , 0.1 , 0.9500000000000001 , Swiss , 21.51 , 0.0
Swiss , 0.12 , 1.14 , Cheddar , 12.55 , 0.0
Cheddar , 0.49 , 1.225 , Cheddar , 15.03 , 0.0
Swiss , 0.14 , 1.33 , Cheddar , 53.49 , 0.0
Cheddar , 0.57 , 1.4249999999999998 , Swiss , 58.74 , 0.0
Cheddar , 0.64 , 1.6 , Cheddar , 5.14 , 0.0
Wensleydale , 0.12 , 1.65 , Swiss , 4.86 , 0.0
Wensleydale , 0.15 , 2.0625 , Cheddar , 36.95 , 0.0
Swiss , 0.22 , 2.09 , Cheddar , 46.27 , 0.0
Cheddar , 0.84 , 2.1 , Wensleydale , 2.62 , 36.025
Cheddar , 0.84 , 2.1 , Wensleydale , 12.55 , 172.5625
Swiss , 0.23 , 2.185 , Wensleydale , 11.61 , 0.0
Cheddar , 1.0 , 2.5 , Cheddar , 21.49 , 0.0
Cheddar , 1.13 , 2.8249999999999997 , Cheddar , 26.11 , 0.0
Wensleydale , 0.21 , 2.8874999999999997 , Cheddar , 26.1 , 0.0
Cheddar , 1.22 , 3.05 , Cheddar , 8.42 , 0.0
Cheddar , 1.23 , 3.075 , Swiss , 16.89 , 0.0
Wensleydale , 0.24 , 3.3 , Wensleydale , 3.39 , 46.612500000000004
Wensleydale , 0.24 , 3.3 , Cheddar , 21.31 , 53.275
Cheddar , 1.39 , 3.4749999999999996 , Cheddar , 1.69 , 4.225
Cheddar , 1.39 , 3.4749999999999996 , Cheddar , 69.28 , 173.2
Cheddar , 1.42 , 3.55 , Cheddar , 17.75 , 0.0
Swiss , 0.38 , 3.61 , Cheddar , 47.13 , 0.0
Cheddar , 1.5 , 3.75 , Wensleydale , 4.2 , 0.0
Cheddar , 1.56 , 3.9000000000000004 , Cheddar , 15.67 , 0.0
Cheddar , 1.57 , 3.9250000000000003 , Swiss , 15.2 , 0.0
Cheddar , 1.6 , 4.0 , Swiss , 15.88 , 0.0
Cheddar , 1.68 , 4.2 , Cheddar , 15.67 , 0.0
Cheddar , 1.7 , 4.25 , Swiss , 84.21 , 0.0
Cheddar , 1.82 , 4.55 , Cheddar , 50.11 , 0.0
Wensleydale , 0.35 , 4.8125 , Wensleydale , 37.18 , 0.0
Cheddar , 1.97 , 4.925 , Cheddar , 5.45 , 13.625
Cheddar , 1.97 , 4.925 , Swiss , 25.89 , 245.955
Swiss , 0.52 , 4.94 , Wensleydale , 67.39 , 0.0
Cheddar , 2.0 , 5.0 , Cheddar , 8.22 , 0.0
Cheddar , 2.04 , 5.1 , Cheddar , 10.67 , 0.0
Swiss , 0.54 , 5.130000000000001 , Cheddar , 46.64 , 0.0
Cheddar , 2.19 , 5.475 , Swiss , 49.81 , 0.0
Swiss , 0.58 , 5.51 , Wensleydale , 55.14 , 0.0
Cheddar , 2.22 , 5.550000000000001 , Wensleydale , 41.96 , 0.0
Swiss , 0.6 , 5.7 , Swiss , 50.79 , 0.0
Cheddar , 2.29 , 5.725 , Swiss , 9.31 , 0.0
Cheddar , 2.3 , 5.75 , Cheddar , 2.92 , 0.0
Cheddar , 2.32 , 5.8 , Cheddar , 0.46 , 0.0
Cheddar , 2.34 , 5.85 , Wensleydale , 5.19 , 0.0
Wensleydale , 0.43 , 5.9125 , Cheddar , 13.9 , 0.0
Cheddar , 2.47 , 6.175000000000001 , Wensleydale , 15.49 , 0.0
Cheddar , 2.5 , 6.25 , Cheddar , 57.02 , 0.0
Cheddar , 2.51 , 6.2749999999999995 , Cheddar , 54.62 , 0.0
Cheddar , 2.52 , 6.3 , Wensleydale , 30.7 , 0.0
Cheddar , 2.54 , 6.35 , Wensleydale , 2.24 , 0.0
Wensleydale , 0.47 , 6.4624999999999995 , Wensleydale , 2.64 , 0.0
Swiss , 0.71 , 6.744999999999999 , Swiss , 16.57 , 0.0
Cheddar , 2.73 , 6.825 , Wensleydale , 47.71 , 0.0
Cheddar , 2.74 , 6.8500000000000005 , Swiss , 37.27 , 0.0
Swiss , 0.73 , 6.935 , Wensleydale , 8.82 , 0.0
Cheddar , 2.8 , 7.0 , Swiss , 14.57 , 0.0
Wensleydale , 0.53 , 7.2875000000000005 , Wensleydale , 44.03 , 0.0
Cheddar , 3.0 , 7.5 , Swiss , 23.8 , 0.0
Swiss , 0.79 , 7.505000000000001 , Swiss , 1.77 , 0.0
Cheddar , 3.11 , 7.7749999999999995 , Swiss , 9.85 , 0.0
Swiss , 0.83 , 7.885 , Wensleydale , 0.61 , 0.0
Cheddar , 3.16 , 7.9 , Wensleydale , 1.07 , 0.0
Cheddar , 3.18 , 7.95 , Wensleydale , 12.24 , 0.0
Cheddar , 3.32 , 8.299999999999999 , Swiss , 39.75 , 0.0
Cheddar , 3.34 , 8.35 , Cheddar , 6.67 , 0.0
Cheddar , 3.35 , 8.375 , Wensleydale , 12.98 , 0.0
Cheddar , 3.43 , 8.575000000000001 , Swiss , 16.01 , 0.0
Swiss , 0.92 , 8.74 , Wensleydale , 17.32 , 0.0
Cheddar , 3.5 , 8.75 , Swiss , 7.48 , 0.0
Cheddar , 3.57 , 8.924999999999999 , Cheddar , 39.86 , 0.0
Swiss , 0.94 , 8.93 , Wensleydale , 19.7 , 0.0
Swiss , 0.95 , 9.025 , Wensleydale , 0.92 , 12.65
Cheddar , 3.61 , 9.025 , Cheddar , 10.72 , 26.8
Swiss , 0.97 , 9.215 , Cheddar , 2.34 , 0.0
Wensleydale , 0.68 , 9.350000000000001 , Cheddar , 1.88 , 0.0
Cheddar , 3.78 , 9.45 , Swiss , 27.56 , 0.0
Cheddar , 3.91 , 9.775 , Wensleydale , 13.58 , 0.0
Cheddar , 3.92 , 9.8 , Wensleydale , 54.52 , 0.0
Swiss , 1.04 , 9.88 , Swiss , 81.7 , 0.0
Wensleydale , 0.72 , 9.9 , Cheddar , 32.02 , 0.0
Cheddar , 3.97 , 9.925 , Wensleydale , 13.82 , 0.0
Cheddar , 4.03 , 10.075000000000001 , Wensleydale , 61.99 , 0.0
Cheddar , 4.08 , 10.2 , Swiss , 0.55 , 5.2250000000000005
Cheddar , 4.08 , 10.2 , Swiss , 49.99 , 474.90500000000003
Swiss , 1.09 , 10.355 , Cheddar , 17.11 , 0.0
Wensleydale , 0.76 , 10.45 , Cheddar , 18.16 , 0.0
Cheddar , 4.24 , 10.600000000000001 , Wensleydale , 63.75 , 0.0
Cheddar , 4.29 , 10.725 , Wensleydale , 44.56 , 0.0
Swiss , 1.13 , 10.735 , Wensleydale , 44.73 , 0.0
Cheddar , 4.42 , 11.05 , Cheddar , 6.6 , 0.0
Swiss , 1.18 , 11.209999999999999 , Wensleydale , 19.82 , 0.0
Wensleydale , 0.84 , 11.549999999999999 , Wensleydale , 50.02 , 0.0
Cheddar , 4.65 , 11.625 , Cheddar , 23.29 , 0.0
Cheddar , 4.69 , 11.725000000000001 , Wensleydale , 29.17 , 0.0
Cheddar , 4.74 , 11.850000000000001 , Wensleydale , 43.81 , 0.0
Wensleydale , 0.87 , 11.9625 , Cheddar , 0.16 , 0.0
Cheddar , 4.97 , 12.424999999999999 , Swiss , 40.58 , 0.0
Swiss , 1.32 , 12.540000000000001 , Swiss , 0.09 , 0.855
Swiss , 1.32 , 12.540000000000001 , Wensleydale , 66.51 , 914.5125
Wensleydale , 0.93 , 12.787500000000001 , Wensleydale , 12.59 , 0.0
Swiss , 1.36 , 12.920000000000002 , Swiss , 17.84 , 0.0
Cheddar , 5.37 , 13.425 , Swiss , 22.02 , 0.0
Swiss , 1.45 , 13.775 , Cheddar , 5.12 , 0.0
Cheddar , 5.53 , 13.825000000000001 , Wensleydale , 8.16 , 0.0
Cheddar , 5.59 , 13.975 , Swiss , 3.56 , 0.0
Swiss , 1.48 , 14.06 , Swiss , 7.53 , 0.0
Wensleydale , 1.03 , 14.1625 , Cheddar , 54.87 , 137.17499999999998
Wensleydale , 1.03 , 14.1625 , Wensleydale , 26.51 , 364.51250000000005
Swiss , 1.51 , 14.345 , Wensleydale , 50.11 , 0.0
Wensleydale , 1.05 , 14.4375 , Swiss , 57.31 , 0.0
Swiss , 1.52 , 14.44 , Wensleydale , 6.08 , 0.0
Swiss , 1.54 , 14.63 , Cheddar , 49.05 , 0.0
Cheddar , 5.99 , 14.975000000000001 , Swiss , 44.9 , 0.0
Wensleydale , 1.09 , 14.9875 , Wensleydale , 6.15 , 0.0
Cheddar , 6.07 , 15.175 , Swiss , 19.23 , 0.0
Cheddar , 6.1 , 15.25 , Wensleydale , 0.63 , 0.0
Wensleydale , 1.12 , 15.400000000000002 , Swiss , 7.85 , 0.0
Cheddar , 6.19 , 15.475000000000001 , Swiss , 0.0 , 0.0
Swiss , 1.64 , 15.579999999999998 , Wensleydale , 12.49 , 0.0
Cheddar , 6.31 , 15.774999999999999 , Cheddar , 28.42 , 0.0
Wensleydale , 1.19 , 16.3625 , Cheddar , 80.41 , 0.0
Cheddar , 6.59 , 16.475 , Swiss , 6.64 , 0.0
Cheddar , 6.64 , 16.599999999999998 , Cheddar , 36.03 , 0.0
Wensleydale , 1.23 , 16.9125 , Wensleydale , 35.42 , 0.0
Cheddar , 6.82 , 17.05 , Cheddar , 75.27 , 0.0
Cheddar , 6.84 , 17.1 , Swiss , 1.83 , 0.0
Swiss , 1.82 , 17.29 , Cheddar , 1.93 , 0.0
Cheddar , 7.07 , 17.675 , Cheddar , 27.33 , 0.0
Swiss , 1.89 , 17.955 , Swiss , 0.35 , 0.0
Wensleydale , 1.31 , 18.0125 , Wensleydale , 17.0 , 0.0
Cheddar , 7.33 , 18.325 , Cheddar , 43.95 , 0.0
Swiss , 1.93 , 18.335 , Wensleydale , 25.65 , 0.0
Cheddar , 7.43 , 18.575 , Cheddar , 22.96 , 0.0
Cheddar , 7.47 , 18.675 , Swiss , 5.29 , 0.0
Cheddar , 7.6 , 19.0 , Wensleydale , 18.82 , 0.0
Swiss , 2.01 , 19.095 , Swiss , 19.99 , 0.0
Cheddar , 7.66 , 19.15 , Cheddar , 10.44 , 0.0
Cheddar , 7.67 , 19.175 , Cheddar , 30.23 , 0.0
Cheddar , 7.75 , 19.375 , Cheddar , 13.2 , 0.0
Swiss , 2.04 , 19.38 , Swiss , 35.29 , 0.0
Cheddar , 7.79 , 19.475 , Wensleydale , 7.78 , 0.0
Wensleydale , 1.43 , 19.662499999999998 , Wensleydale , 4.16 , 0.0
Swiss , 2.09 , 19.854999999999997 , Cheddar , 10.9 , 0.0
Cheddar , 7.97 , 19.925 , Cheddar , 12.67 , 0.0
Cheddar , 8.02 , 20.049999999999997 , Swiss , 13.53 , 0.0
Cheddar , 8.19 , 20.474999999999998 , Cheddar , 55.2 , 0.0
Cheddar , 8.22 , 20.55 , Swiss , 26.95 , 0.0
Cheddar , 8.25 , 20.625 , Swiss , 68.34 , 0.0
Cheddar , 8.42 , 21.05 , Cheddar , 23.7 , 0.0
Cheddar , 8.43 , 21.075 , Swiss , 1.8 , 0.0
Cheddar , 8.51 , 21.275 , Cheddar , 0.91 , 0.0
Cheddar , 8.58 , 21.45 , Wensleydale , 2.62 , 0.0
Swiss , 2.27 , 21.565 , Swiss , 4.28 , 0.0
Wensleydale , 1.57 , 21.587500000000002 , Wensleydale , 34.49 , 0.0
Wensleydale , 1.6 , 22.0 , Cheddar , 4.6 , 0.0
Swiss , 2.32 , 22.04 , Wensleydale , 41.98 , 0.0
Cheddar , 9.09 , 22.725 , Wensleydale , 42.57 , 0.0
Cheddar , 9.14 , 22.85 , Swiss , 55.94 , 0.0
Cheddar , 9.21 , 23.025000000000002 , Swiss , 46.26 , 0.0
Cheddar , 9.26 , 23.15 , Swiss , 14.66 , 0.0
Swiss , 2.44 , 23.18 , Wensleydale , 49.63 , 0.0
Swiss , 2.46 , 23.37 , Wensleydale , 15.61 , 0.0
Cheddar , 9.4 , 23.5 , Wensleydale , 2.46 , 0.0
Cheddar , 9.5 , 23.75 , Wensleydale , 38.63 , 0.0
Wensleydale , 1.74 , 23.925 , Swiss , 48.32 , 0.0
Wensleydale , 1.75 , 24.0625 , Cheddar , 32.74 , 0.0
Cheddar , 9.67 , 24.175 , Cheddar , 1.09 , 0.0
Cheddar , 9.73 , 24.325000000000003 , Swiss , 4.75 , 0.0
Wensleydale , 1.77 , 24.3375 , Swiss , 0.89 , 0.0
Wensleydale , 1.78 , 24.475 , Cheddar , 32.48 , 81.19999999999999
Wensleydale , 1.78 , 24.475 , Swiss , 47.58 , 452.01
Swiss , 2.58 , 24.51 , Swiss , 26.15 , 0.0
Cheddar , 9.87 , 24.674999999999997 , Wensleydale , 5.44 , 0.0
Cheddar , 9.9 , 24.75 , Cheddar , 39.45 , 0.0
Cheddar , 10.02 , 25.049999999999997 , Swiss , 7.8 , 0.0
Swiss , 2.69 , 25.555 , Cheddar , 49.38 , 0.0
Cheddar , 10.24 , 25.6 , Wensleydale , 29.75 , 0.0
Cheddar , 10.28 , 25.7 , Wensleydale , 53.2 , 0.0
Cheddar , 10.42 , 26.05 , Swiss , 25.91 , 0.0
Cheddar , 10.43 , 26.075 , Wensleydale , 50.0 , 0.0
Wensleydale , 1.9 , 26.125 , Cheddar , 4.83 , 0.0
Cheddar , 10.51 , 26.275 , Wensleydale , 5.99 , 0.0
Cheddar , 10.67 , 26.675 , Cheddar , 17.28 , 0.0
Cheddar , 11.08 , 27.7 , Wensleydale , 49.19 , 0.0
Cheddar , 11.21 , 28.025000000000002 , Wensleydale , 73.75 , 0.0
Cheddar , 11.23 , 28.075000000000003 , Swiss , 11.79 , 0.0
Cheddar , 11.32 , 28.3 , Wensleydale , 0.62 , 0.0
Cheddar , 11.34 , 28.35 , Cheddar , 41.41 , 0.0
Cheddar , 11.39 , 28.475 , Cheddar , 33.72 , 0.0
Swiss , 3.01 , 28.595 , Wensleydale , 4.38 , 0.0
Swiss , 3.03 , 28.784999999999997 , Wensleydale , 23.67 , 0.0
Swiss , 3.06 , 29.07 , Swiss , 16.08 , 152.76
Swiss , 3.06 , 29.07 , Wensleydale , 43.9 , 603.625
Wensleydale , 2.12 , 29.150000000000002 , Wensleydale , 10.88 , 0.0
Swiss , 3.08 , 29.26 , Wensleydale , 5.87 , 0.0
Wensleydale , 2.14 , 29.425 , Wensleydale , 10.47 , 0.0
Swiss , 3.18 , 30.21 , Cheddar , 7.51 , 0.0
Cheddar , 12.09 , 30.225 , Cheddar , 16.14 , 0.0
Wensleydale , 2.23 , 30.6625 , Wensleydale , 14.85 , 0.0
Cheddar , 12.33 , 30.825 , Swiss , 4.85 , 0.0
Wensleydale , 2.27 , 31.2125 , Swiss , 1.82 , 0.0
Cheddar , 12.62 , 31.549999999999997 , Swiss , 1.56 , 0.0
Swiss , 3.39 , 32.205 , Swiss , 11.16 , 0.0
Swiss , 3.39 , 32.205 , Swiss , 1.47 , 13.965
Cheddar , 12.92 , 32.3 , Wensleydale , 9.04 , 0.0
Cheddar , 12.95 , 32.375 , Wensleydale , 20.19 , 0.0
Wensleydale , 2.36 , 32.449999999999996 , Swiss , 26.42 , 0.0
Cheddar , 13.05 , 32.625 , Swiss , 24.83 , 0.0
Swiss , 3.46 , 32.87 , Wensleydale , 41.84 , 575.3000000000001
Swiss , 3.46 , 32.87 , Wensleydale , 49.51 , 680.7624999999999
Swiss , 3.47 , 32.965 , Wensleydale , 0.84 , 0.0
Swiss , 3.51 , 33.345 , Swiss , 34.68 , 0.0
Wensleydale , 2.43 , 33.4125 , Cheddar , 10.08 , 0.0
Swiss , 3.54 , 33.63 , Cheddar , 8.37 , 0.0
Cheddar , 13.55 , 33.875 , Wensleydale , 1.98 , 0.0
Swiss , 3.58 , 34.01 , Wensleydale , 14.73 , 0.0
Swiss , 3.65 , 34.675 , Cheddar , 37.02 , 0.0
Cheddar , 13.93 , 34.825 , Swiss , 20.82 , 0.0
Wensleydale , 2.54 , 34.925 , Cheddar , 30.26 , 0.0
Swiss , 3.71 , 35.245 , Cheddar , 42.64 , 106.6
Swiss , 3.71 , 35.245 , Wensleydale , 11.75 , 161.5625
Wensleydale , 2.6 , 35.75 , Cheddar , 0.88 , 0.0
Wensleydale , 2.61 , 35.887499999999996 , Cheddar , 0.16 , 0.0
Cheddar , 14.38 , 35.95 , Wensleydale , 31.37 , 0.0
Cheddar , 14.43 , 36.075 , Swiss , 22.52 , 0.0
Cheddar , 14.47 , 36.175000000000004 , Cheddar , 10.52 , 0.0
Wensleydale , 2.65 , 36.4375 , Cheddar , 46.29 , 115.725
Wensleydale , 2.65 , 36.4375 , Wensleydale , 33.23 , 456.91249999999997
Cheddar , 14.59 , 36.475 , Cheddar , 63.87 , 0.0
Cheddar , 14.84 , 37.1 , Cheddar , 8.08 , 0.0
Wensleydale , 2.75 , 37.8125 , Swiss , 34.98 , 0.0
Cheddar , 15.22 , 38.050000000000004 , Cheddar , 8.26 , 0.0
Swiss , 4.05 , 38.475 , Cheddar , 39.39 , 0.0
Swiss , 4.08 , 38.76 , Swiss , 44.51 , 0.0
Cheddar , 15.53 , 38.824999999999996 , Wensleydale , 16.24 , 0.0
Cheddar , 15.57 , 38.925 , Cheddar , 14.66 , 0.0
Cheddar , 15.58 , 38.95 , Swiss , 2.18 , 0.0
Swiss , 4.11 , 39.045 , Swiss , 30.53 , 0.0
Swiss , 4.14 , 39.33 , Wensleydale , 53.21 , 0.0
Swiss , 4.19 , 39.80500000000001 , Swiss , 38.91 , 0.0
Cheddar , 15.93 , 39.825 , Swiss , 44.68 , 0.0
Cheddar , 15.94 , 39.85 , Cheddar , 18.53 , 0.0
Cheddar , 16.1 , 40.25 , Swiss , 7.72 , 0.0
Cheddar , 16.13 , 40.324999999999996 , Wensleydale , 23.07 , 0.0
Swiss , 4.25 , 40.375 , Swiss , 15.17 , 0.0
Cheddar , 16.16 , 40.4 , Swiss , 3.67 , 34.865
Cheddar , 16.16 , 40.4 , Cheddar , 90.63 , 226.575
Cheddar , 16.17 , 40.425000000000004 , Cheddar , 20.55 , 0.0
Swiss , 4.27 , 40.565 , Swiss , 10.45 , 0.0
Swiss , 4.29 , 40.755 , Swiss , 26.97 , 0.0
Cheddar , 16.36 , 40.9 , Cheddar , 0.27 , 0.0
Swiss , 4.31 , 40.94499999999999 , Swiss , 26.38 , 0.0
Cheddar , 16.45 , 41.125 , Cheddar , 12.29 , 0.0
Cheddar , 16.51 , 41.275000000000006 , Cheddar , 3.4 , 0.0
Swiss , 4.37 , 41.515 , Wensleydale , 59.7 , 0.0
Cheddar , 16.66 , 41.65 , Cheddar , 1.78 , 0.0
Cheddar , 16.67 , 41.675000000000004 , Cheddar , 13.76 , 0.0
Swiss , 4.43 , 42.084999999999994 , Wensleydale , 63.73 , 0.0
Cheddar , 17.15 , 42.875 , Cheddar , 29.21 , 0.0
Cheddar , 17.17 , 42.925000000000004 , Swiss , 12.01 , 0.0
Wensleydale , 3.13 , 43.0375 , Wensleydale , 6.62 , 0.0
Cheddar , 17.36 , 43.4 , Swiss , 19.23 , 0.0
Swiss , 4.59 , 43.605 , Swiss , 60.49 , 0.0
Cheddar , 17.54 , 43.849999999999994 , Swiss , 2.16 , 0.0
Cheddar , 17.59 , 43.975 , Cheddar , 14.78 , 0.0
Cheddar , 17.6 , 44.0 , Swiss , 82.07 , 0.0
