Number of Comparisons : 75760
Swiss , 0.0 , 0.0 , Cheddar , 0.12 , 0.3
Wensleydale , 0.0 , 0.0 , Wensleydale , 0.23 , 3.1625
Wensleydale , 0.0 , 0.0 , Swiss , 0.39 , 3.705
Wensleydale , 0.0 , 0.0 , Cheddar , 1.93 , 4.825
Cheddar , 0.0 , 0.0 , Cheddar , 2.22 , 5.550000000000001
Wensleydale , 0.0 , 0.0 , Cheddar , 2.45 , 6.125
Wensleydale , 0.0 , 0.0 , Wensleydale , 0.58 , 7.975
Wensleydale , 0.0 , 0.0 , Cheddar , 3.74 , 9.350000000000001
Wensleydale , 0.0 , 0.0 , Wensleydale , 1.02 , 14.025
Swiss , 0.0 , 0.0 , Swiss , 1.48 , 14.06
Wensleydale , 0.0 , 0.0 , Cheddar , 6.3 , 15.75
Cheddar , 0.0 , 0.0 , Swiss , 1.87 , 17.765
Cheddar , 0.0 , 0.0 , Swiss , 1.93 , 18.335
Cheddar , 0.0 , 0.0 , Cheddar , 8.3 , 20.75
Cheddar , 0.0 , 0.0 , Cheddar , 8.58 , 21.45
Swiss , 0.0 , 0.0 , Cheddar , 8.71 , 21.775000000000002
Swiss , 0.0 , 0.0 , Cheddar , 9.77 , 24.424999999999997
Swiss , 0.0 , 0.0 , Swiss , 2.69 , 25.555
Swiss , 0.0 , 0.0 , Cheddar , 11.81 , 29.525000000000002
Wensleydale , 0.0 , 0.0 , Cheddar , 13.35 , 33.375
Swiss , 0.0 , 0.0 , Wensleydale , 2.77 , 38.0875
Swiss , 0.0 , 0.0 , Cheddar , 15.9 , 39.75
Cheddar , 0.0 , 0.0 , Swiss , 4.44 , 42.18000000000001
Wensleydale , 0.0 , 0.0 , Swiss , 4.45 , 42.275
Wensleydale , 0.0 , 0.0 , Cheddar , 17.28 , 43.2
Swiss , 0.0 , 0.0 , Wensleydale , 3.22 , 44.275000000000006
Swiss , 0.0 , 0.0 , Cheddar , 18.21 , 45.525000000000006
Swiss , 0.0 , 0.0 , Cheddar , 19.57 , 48.925
Cheddar , 0.0 , 0.0 , Swiss , 5.2 , 49.4
Cheddar , 0.0 , 0.0 , Swiss , 5.39 , 51.205
Wensleydale , 0.0 , 0.0 , Cheddar , 21.37 , 53.425000000000004
Wensleydale , 0.0 , 0.0 , Swiss , 6.36 , 60.42
Swiss , 0.0 , 0.0 , Cheddar , 25.74 , 64.35
Cheddar , 0.0 , 0.0 , Cheddar , 29.41 , 73.525
Cheddar , 0.0 , 0.0 , Cheddar , 30.39 , 75.975
Swiss , 0.0 , 0.0 , Cheddar , 30.87 , 77.175
Wensleydale , 0.0 , 0.0 , Cheddar , 32.22 , 80.55
Wensleydale , 0.0 , 0.0 , Cheddar , 32.39 , 80.975
Wensleydale , 0.0 , 0.0 , Swiss , 8.94 , 84.92999999999999
Wensleydale , 0.0 , 0.0 , Cheddar , 37.19 , 92.975
Wensleydale , 0.0 , 0.0 , Cheddar , 37.64 , 94.1
Cheddar , 0.0 , 0.0 , Cheddar , 37.72 , 94.3
Wensleydale , 0.0 , 0.0 , Wensleydale , 6.9 , 94.875
Wensleydale , 0.0 , 0.0 , Cheddar , 39.01 , 97.52499999999999
Cheddar , 0.0 , 0.0 , Swiss , 10.88 , 103.36000000000001
Swiss , 0.0 , 0.0 , Cheddar , 44.65 , 111.625
Cheddar , 0.0 , 0.0 , Wensleydale , 8.67 , 119.2125
Cheddar , 0.0 , 0.0 , Swiss , 12.84 , 121.98
Wensleydale , 0.0 , 0.0 , Swiss , 13.04 , 123.88
Cheddar , 0.0 , 0.0 , Swiss , 13.65 , 129.675
Swiss , 0.0 , 0.0 , Cheddar , 52.16 , 130.39999999999998
Cheddar , 0.0 , 0.0 , Cheddar , 57.71 , 144.275
Cheddar , 0.0 , 0.0 , Swiss , 16.47 , 156.46499999999997
Wensleydale , 0.0 , 0.0 , Wensleydale , 11.43 , 157.1625
Cheddar , 0.0 , 0.0 , Cheddar , 63.05 , 157.625
Wensleydale , 0.0 , 0.0 , Swiss , 17.39 , 165.205
Cheddar , 0.0 , 0.0 , Cheddar , 67.55 , 168.875
Cheddar , 0.0 , 0.0 , Cheddar , 68.03 , 170.075
Swiss , 0.0 , 0.0 , Wensleydale , 12.6 , 173.25
Wensleydale , 0.0 , 0.0 , Swiss , 18.24 , 173.27999999999997
Swiss , 0.0 , 0.0 , Swiss , 20.36 , 193.42
Cheddar , 0.0 , 0.0 , Wensleydale , 14.99 , 206.1125
Wensleydale , 0.0 , 0.0 , Swiss , 22.27 , 211.565
Wensleydale , 0.0 , 0.0 , Wensleydale , 15.51 , 213.2625
