Number of Comparisons : 334
Cheddar , 0.65 , 1.625 , Swiss , 24.49 , 0.0
Cheddar , 0.67 , 1.675 , Wensleydale , 6.43 , 0.0
Swiss , 0.25 , 2.375 , Swiss , 1.2 , 0.0
Cheddar , 1.66 , 4.1499999999999995 , Cheddar , 6.9 , 0.0
Swiss , 0.63 , 5.985 , Cheddar , 41.01 , 0.0
Cheddar , 2.91 , 7.275 , Cheddar , 6.49 , 0.0
Cheddar , 4.45 , 11.125 , Wensleydale , 2.96 , 0.0
Swiss , 1.21 , 11.495 , Wensleydale , 30.73 , 0.0
Cheddar , 4.76 , 11.899999999999999 , Swiss , 35.79 , 0.0
Swiss , 1.26 , 11.97 , Swiss , 39.34 , 0.0
Swiss , 1.65 , 15.674999999999999 , Swiss , 66.99 , 0.0
Swiss , 1.95 , 18.525 , Cheddar , 5.83 , 0.0
Swiss , 3.11 , 29.544999999999998 , Cheddar , 12.4 , 0.0
Swiss , 3.15 , 29.925 , Wensleydale , 4.16 , 0.0
Wensleydale , 2.2 , 30.250000000000004 , Cheddar , 2.46 , 0.0
Cheddar , 12.17 , 30.425 , Cheddar , 21.5 , 0.0
Cheddar , 12.2 , 30.5 , Wensleydale , 30.14 , 0.0
Cheddar , 13.13 , 32.825 , Cheddar , 42.68 , 0.0
Cheddar , 13.31 , 33.275 , Wensleydale , 7.35 , 0.0
Swiss , 3.79 , 36.005 , Wensleydale , 6.75 , 0.0
Cheddar , 14.47 , 36.175000000000004 , Wensleydale , 0.43 , 0.0
Cheddar , 16.15 , 40.375 , Cheddar , 13.83 , 0.0
Cheddar , 17.11 , 42.775 , Cheddar , 29.31 , 0.0
Wensleydale , 3.12 , 42.9 , Cheddar , 19.63 , 0.0
Wensleydale , 3.14 , 43.175000000000004 , Cheddar , 8.53 , 0.0
Cheddar , 18.68 , 46.7 , Swiss , 16.28 , 0.0
Cheddar , 19.32 , 48.3 , Cheddar , 10.14 , 0.0
Cheddar , 21.03 , 52.575 , Cheddar , 1.0 , 0.0
Cheddar , 26.04 , 65.1 , Cheddar , 40.43 , 0.0
Wensleydale , 5.28 , 72.60000000000001 , Cheddar , 61.16 , 0.0
Wensleydale , 5.37 , 73.8375 , Swiss , 2.67 , 0.0
Wensleydale , 5.72 , 78.64999999999999 , Cheddar , 14.72 , 0.0
Swiss , 8.41 , 79.895 , Swiss , 19.72 , 0.0
Cheddar , 33.06 , 82.65 , Cheddar , 24.31 , 0.0
Cheddar , 33.48 , 83.69999999999999 , Swiss , 20.89 , 0.0
Cheddar , 33.87 , 84.675 , Swiss , 48.6 , 0.0
Swiss , 8.99 , 85.405 , Wensleydale , 0.58 , 0.0
Cheddar , 35.09 , 87.72500000000001 , Wensleydale , 44.31 , 0.0
Swiss , 9.41 , 89.395 , Swiss , 14.02 , 0.0
Cheddar , 36.62 , 91.55 , Swiss , 9.84 , 0.0
Cheddar , 36.78 , 91.95 , Swiss , 51.65 , 0.0
Cheddar , 36.89 , 92.225 , Cheddar , 66.57 , 0.0
Cheddar , 40.12 , 100.3 , Cheddar , 16.03 , 0.0
Cheddar , 40.23 , 100.57499999999999 , Wensleydale , 40.75 , 0.0
Cheddar , 40.96 , 102.4 , Swiss , 11.17 , 0.0
Cheddar , 41.42 , 103.55000000000001 , Cheddar , 2.6 , 0.0
Cheddar , 44.16 , 110.39999999999999 , Swiss , 25.96 , 0.0
Swiss , 11.93 , 113.335 , Swiss , 34.67 , 0.0
Swiss , 13.45 , 127.77499999999999 , Cheddar , 4.0 , 0.0
Cheddar , 54.38 , 135.95000000000002 , Wensleydale , 35.73 , 0.0
Wensleydale , 10.13 , 139.28750000000002 , Swiss , 73.29 , 0.0
Wensleydale , 10.7 , 147.125 , Swiss , 65.48 , 0.0
Wensleydale , 11.35 , 156.0625 , Swiss , 2.56 , 0.0
Swiss , 16.58 , 157.51 , Cheddar , 21.19 , 0.0
Swiss , 16.68 , 158.46 , Swiss , 78.06 , 0.0
Cheddar , 63.64 , 159.1 , Cheddar , 46.23 , 0.0
Swiss , 16.83 , 159.885 , Wensleydale , 44.41 , 0.0
Wensleydale , 12.74 , 175.175 , Swiss , 5.02 , 0.0
Swiss , 18.58 , 176.51 , Cheddar , 12.03 , 0.0
Swiss , 19.53 , 185.53500000000003 , Swiss , 3.68 , 0.0
Swiss , 21.85 , 207.57500000000002 , Wensleydale , 0.28 , 0.0
Swiss , 24.56 , 233.32 , Wensleydale , 5.77 , 0.0
Swiss , 24.6 , 233.70000000000002 , Cheddar , 14.22 , 0.0
Swiss , 25.98 , 246.81 , Wensleydale , 56.05 , 0.0
Wensleydale , 18.97 , 260.8375 , Swiss , 36.9 , 0.0
Swiss , 27.63 , 262.485 , Swiss , 0.08 , 0.0
Wensleydale , 19.09 , 262.4875 , Swiss , 21.49 , 0.0
Swiss , 28.22 , 268.09 , Wensleydale , 28.95 , 0.0
Swiss , 28.76 , 273.22 , Wensleydale , 39.67 , 0.0
Swiss , 29.11 , 276.545 , Cheddar , 2.92 , 0.0
Wensleydale , 21.04 , 289.3 , Swiss , 36.59 , 0.0
Swiss , 31.24 , 296.78 , Swiss , 26.04 , 0.0
Swiss , 33.15 , 314.925 , Cheddar , 60.53 , 0.0
Swiss , 34.23 , 325.18499999999995 , Wensleydale , 28.77 , 0.0
Swiss , 35.32 , 335.54 , Swiss , 71.38 , 0.0
Wensleydale , 24.7 , 339.625 , Cheddar , 2.76 , 0.0
Swiss , 37.61 , 357.295 , Swiss , 34.22 , 0.0
Swiss , 40.11 , 381.045 , Cheddar , 59.15 , 0.0
Swiss , 41.43 , 393.585 , Swiss , 5.18 , 0.0
Wensleydale , 29.41 , 404.3875 , Swiss , 37.03 , 0.0
Swiss , 42.66 , 405.27 , Wensleydale , 5.14 , 0.0
Wensleydale , 30.81 , 423.6375 , Swiss , 3.12 , 0.0
Wensleydale , 31.41 , 431.8875 , Wensleydale , 13.93 , 0.0
Wensleydale , 31.7 , 435.875 , Swiss , 57.62 , 0.0
Wensleydale , 31.85 , 437.9375 , Swiss , 17.29 , 0.0
Swiss , 46.24 , 439.28000000000003 , Swiss , 35.33 , 0.0
Wensleydale , 33.64 , 462.55 , Cheddar , 9.44 , 0.0
Swiss , 49.0 , 465.5 , Swiss , 3.4 , 0.0
Swiss , 50.81 , 482.69500000000005 , Swiss , 43.45 , 0.0
Wensleydale , 35.34 , 485.92500000000007 , Swiss , 10.05 , 0.0
Wensleydale , 36.32 , 499.4 , Swiss , 0.19 , 0.0
Wensleydale , 36.44 , 501.04999999999995 , Wensleydale , 19.44 , 0.0
Wensleydale , 39.43 , 542.1625 , Cheddar , 16.15 , 0.0
Swiss , 63.56 , 603.82 , Cheddar , 3.22 , 0.0
Wensleydale , 44.59 , 613.1125000000001 , Wensleydale , 10.39 , 0.0
Wensleydale , 48.17 , 662.3375 , Wensleydale , 0.38 , 0.0
Swiss , 74.2 , 704.9 , Cheddar , 22.08 , 0.0
Wensleydale , 52.12 , 716.65 , Cheddar , 36.54 , 0.0
Wensleydale , 67.93 , 934.0375000000001 , Wensleydale , 60.08 , 0.0
Wensleydale , 74.93 , 1030.2875000000001 , Wensleydale , 20.44 , 0.0
