Swiss,39.31|Swiss,13.18
Swiss,26.88|Swiss,7.90
Wensleydale,1.43|Wensleydale,4.16
Wensleydale,33.09|Swiss,7.91
Wensleydale,52.96|Cheddar,8.90
Swiss,1.48|Swiss,7.53
Wensleydale,13.73|Wensleydale,3.29
Swiss,2.04|Swiss,35.29
Swiss,16.36|Cheddar,55.23
Wensleydale,13.94|Wensleydale,0.28
Cheddar,7.47|Swiss,5.29
Swiss,31.31|Wensleydale,18.64
Swiss,3.06|Swiss,16.08
Swiss,4.27|Swiss,10.45
Cheddar,8.42|Cheddar,23.70
Swiss,33.38|Cheddar,9.61
Wensleydale,15.92|Cheddar,19.48
Wensleydale,21.84|Swiss,24.36
Wensleydale,35.13|Wensleydale,76.93
Swiss,3.39|Swiss,11.16
Swiss,8.05|Cheddar,20.01
Wensleydale,6.63|Swiss,2.24
Cheddar,67.21|Wensleydale,25.57
Wensleydale,30.30|Swiss,14.37
Wensleydale,1.19|Cheddar,80.41
Swiss,7.22|Wensleydale,15.78
Swiss,3.46|Wensleydale,41.84
Wensleydale,6.46|Wensleydale,3.92
Swiss,31.11|Swiss,13.17
Swiss,42.14|Swiss,68.06
Cheddar,7.60|Wensleydale,18.82
Cheddar,13.93|Swiss,20.82
Wensleydale,12.39|Wensleydale,1.91
Cheddar,6.31|Cheddar,28.42
Wensleydale,58.45|Cheddar,1.44
Cheddar,25.25|Cheddar,4.48
Cheddar,0.00|Cheddar,4.29
Cheddar,18.67|Wensleydale,5.24
Swiss,63.16|Cheddar,93.98
Wensleydale,19.13|Swiss,43.39
Wensleydale,0.47|Wensleydale,2.64
Cheddar,45.61|Wensleydale,48.03
Cheddar,45.91|Swiss,1.17
Wensleydale,41.52|Wensleydale,27.71
Swiss,4.43|Wensleydale,63.73
Cheddar,72.27|Swiss,3.85
Wensleydale,10.08|Wensleydale,24.72
Cheddar,8.58|Wensleydale,2.62
Swiss,17.69|Cheddar,15.39
Wensleydale,37.66|Swiss,11.32
Swiss,26.86|Wensleydale,29.62
Cheddar,3.16|Wensleydale,1.07
Cheddar,0.27|Cheddar,83.41
Wensleydale,29.59|Cheddar,1.23
Wensleydale,73.68|Swiss,15.21
Swiss,15.43|Wensleydale,53.36
Swiss,39.14|Cheddar,40.65
Cheddar,67.43|Wensleydale,13.98
Cheddar,10.24|Wensleydale,29.75
Wensleydale,4.96|Swiss,5.75
Swiss,49.91|Swiss,32.21
Swiss,45.16|Cheddar,12.27
Wensleydale,4.40|Swiss,89.95
Swiss,3.58|Wensleydale,14.73
Swiss,18.45|Swiss,48.05
Swiss,36.89|Swiss,71.03
Cheddar,1.70|Swiss,84.21
Swiss,13.37|Wensleydale,37.41
Cheddar,19.37|Wensleydale,6.98
Wensleydale,24.06|Swiss,0.77
Cheddar,2.54|Wensleydale,2.24
Cheddar,15.93|Swiss,44.68
Wensleydale,11.74|Cheddar,6.22
Cheddar,70.33|Wensleydale,8.33
Wensleydale,48.30|Cheddar,9.89
Swiss,29.12|Wensleydale,6.86
Wensleydale,1.05|Swiss,57.31
Swiss,7.04|Wensleydale,57.51
Swiss,1.13|Wensleydale,44.73
Wensleydale,59.98|Swiss,12.14
Wensleydale,21.99|Cheddar,19.12
Wensleydale,36.46|Wensleydale,45.60
Wensleydale,3.50|Cheddar,20.89
Cheddar,42.03|Cheddar,8.84
Wensleydale,33.81|Wensleydale,6.61
Swiss,20.11|Wensleydale,41.62
Wensleydale,63.59|Cheddar,51.36
Cheddar,31.19|Cheddar,9.36
Cheddar,40.48|Cheddar,8.92
Swiss,18.66|Swiss,3.87
Cheddar,18.20|Swiss,10.85
Cheddar,38.16|Swiss,22.68
Wensleydale,31.85|Wensleydale,35.62
Cheddar,31.81|Cheddar,26.96
Swiss,4.59|Swiss,60.49
Cheddar,24.12|Cheddar,12.75
Swiss,3.06|Wensleydale,43.90
Wensleydale,36.90|Swiss,8.85
Swiss,9.69|Swiss,32.41
Swiss,41.22|Cheddar,46.23
Wensleydale,2.65|Cheddar,46.29
Cheddar,41.31|Cheddar,17.33
Wensleydale,0.72|Cheddar,32.02
Cheddar,9.87|Wensleydale,5.44
Swiss,21.28|Wensleydale,22.03
Cheddar,11.34|Cheddar,41.41
Wensleydale,5.01|Cheddar,31.26
Cheddar,53.98|Swiss,4.20
Swiss,11.34|Wensleydale,3.07
Cheddar,44.43|Swiss,70.84
Wensleydale,22.49|Cheddar,21.89
Swiss,15.64|Cheddar,21.43
Swiss,15.25|Wensleydale,32.98
Swiss,13.49|Cheddar,23.62
Swiss,12.82|Wensleydale,18.78
Swiss,0.92|Wensleydale,17.32
Wensleydale,6.16|Cheddar,34.36
Wensleydale,1.31|Wensleydale,17.00
Cheddar,21.96|Wensleydale,17.14
Swiss,10.56|Swiss,6.84
Cheddar,82.72|Swiss,0.26
Wensleydale,6.49|Swiss,21.39
Wensleydale,32.45|Wensleydale,15.63
Wensleydale,32.62|Cheddar,78.53
Cheddar,6.84|Swiss,1.83
Swiss,2.09|Cheddar,10.90
Wensleydale,17.56|Wensleydale,16.39
Swiss,4.71|Swiss,9.91
Cheddar,61.48|Wensleydale,12.99
Cheddar,64.32|Wensleydale,62.08
Cheddar,75.41|Swiss,5.89
Swiss,0.12|Cheddar,12.55
Cheddar,26.71|Wensleydale,4.90
Wensleydale,92.00|Cheddar,2.97
Wensleydale,25.75|Wensleydale,18.25
Wensleydale,12.95|Swiss,10.95
Wensleydale,4.03|Wensleydale,60.28
Swiss,0.79|Swiss,1.77
Cheddar,19.43|Cheddar,81.72
Wensleydale,9.13|Swiss,6.29
Swiss,16.36|Cheddar,22.04
Cheddar,46.94|Swiss,19.79
Wensleydale,60.06|Cheddar,56.37
Cheddar,66.06|Swiss,1.84
Cheddar,34.89|Swiss,25.49
Cheddar,50.05|Cheddar,26.74
Swiss,0.54|Cheddar,46.64
Wensleydale,6.62|Swiss,9.98
Swiss,10.67|Swiss,17.04
Cheddar,22.18|Cheddar,25.00
Swiss,12.16|Cheddar,43.33
Swiss,62.36|Wensleydale,5.65
Cheddar,2.29|Swiss,9.31
Swiss,8.56|Wensleydale,22.13
Swiss,56.00|Cheddar,13.33
Swiss,9.15|Swiss,8.72
Wensleydale,0.15|Cheddar,36.95
Cheddar,89.06|Wensleydale,20.99
Swiss,4.19|Swiss,38.91
Swiss,2.58|Swiss,26.15
Wensleydale,4.33|Swiss,14.49
Cheddar,3.18|Wensleydale,12.24
Swiss,11.78|Swiss,32.13
Swiss,5.32|Swiss,62.70
Cheddar,8.43|Swiss,1.80
Cheddar,8.02|Swiss,13.53
Cheddar,3.61|Cheddar,10.72
Cheddar,4.69|Wensleydale,29.17
Cheddar,5.37|Swiss,22.02
Swiss,72.19|Swiss,23.45
Cheddar,40.56|Cheddar,63.60
Swiss,5.31|Cheddar,89.16
Wensleydale,8.43|Wensleydale,37.23
Swiss,69.67|Swiss,7.67
Cheddar,53.81|Wensleydale,41.92
Swiss,0.00|Cheddar,28.92
Swiss,13.71|Cheddar,18.14
Wensleydale,34.05|Cheddar,38.46
Swiss,53.84|Swiss,16.10
Cheddar,10.28|Wensleydale,53.20
Cheddar,25.99|Swiss,8.09
Cheddar,2.74|Swiss,37.27
Wensleydale,11.52|Wensleydale,86.11
Cheddar,3.35|Wensleydale,12.98
Swiss,14.87|Wensleydale,8.48
Swiss,11.51|Cheddar,16.94
Cheddar,42.08|Cheddar,21.55
Cheddar,52.01|Swiss,6.10
Cheddar,33.09|Wensleydale,37.60
Wensleydale,1.74|Swiss,48.32
Wensleydale,46.74|Swiss,40.87
Swiss,31.36|Swiss,2.21
Swiss,64.67|Cheddar,44.15
Cheddar,57.78|Swiss,83.27
Cheddar,47.23|Swiss,74.80
Cheddar,4.08|Swiss,49.99
Swiss,32.70|Swiss,35.21
Cheddar,9.40|Wensleydale,2.46
Wensleydale,11.22|Cheddar,15.47
Cheddar,6.64|Cheddar,36.03
Cheddar,1.39|Cheddar,69.28
Swiss,11.73|Cheddar,47.10
Wensleydale,10.67|Cheddar,2.11
Wensleydale,6.20|Cheddar,29.90
Cheddar,20.41|Cheddar,27.73
Wensleydale,62.88|Swiss,45.76
Wensleydale,9.97|Wensleydale,16.91
Cheddar,36.09|Cheddar,16.64
Swiss,11.74|Wensleydale,64.32
Wensleydale,1.60|Cheddar,4.60
Swiss,0.38|Cheddar,47.13
Swiss,0.95|Wensleydale,0.92
Cheddar,9.09|Wensleydale,42.57
Wensleydale,21.18|Cheddar,20.24
Cheddar,21.40|Cheddar,29.54
Swiss,32.36|Wensleydale,1.54
Wensleydale,4.23|Wensleydale,5.45
Wensleydale,5.17|Wensleydale,26.98
Swiss,0.73|Wensleydale,8.82
Wensleydale,8.54|Swiss,21.16
Cheddar,15.58|Swiss,2.18
Swiss,51.07|Wensleydale,62.16
Wensleydale,16.72|Swiss,0.06
Wensleydale,0.00|Cheddar,42.30
Cheddar,18.83|Cheddar,41.64
Swiss,5.63|Swiss,20.60
Wensleydale,2.60|Cheddar,0.88
Swiss,47.61|Swiss,67.79
Swiss,2.44|Wensleydale,49.63
Cheddar,4.65|Cheddar,23.29
Swiss,64.32|Swiss,17.01
Wensleydale,5.67|Wensleydale,21.42
Wensleydale,56.18|Wensleydale,84.51
Swiss,32.13|Cheddar,6.37
Wensleydale,28.12|Cheddar,7.95
Wensleydale,26.38|Cheddar,19.43
Wensleydale,6.28|Cheddar,20.76
Wensleydale,47.66|Wensleydale,10.95
Wensleydale,25.10|Cheddar,3.38
Cheddar,58.02|Cheddar,31.88
Cheddar,18.04|Wensleydale,9.48
Wensleydale,49.22|Wensleydale,5.72
Cheddar,7.75|Cheddar,13.20
Cheddar,14.84|Cheddar,8.08
Cheddar,19.72|Swiss,0.04
Wensleydale,14.32|Swiss,26.48
Cheddar,9.26|Swiss,14.66
Swiss,1.64|Wensleydale,12.49
Swiss,36.32|Cheddar,31.48
Cheddar,3.11|Swiss,9.85
Wensleydale,45.07|Wensleydale,7.57
Swiss,49.26|Cheddar,52.88
Cheddar,9.50|Wensleydale,38.63
Swiss,78.39|Cheddar,17.07
Swiss,36.13|Swiss,53.07
Swiss,4.05|Cheddar,39.39
Cheddar,26.88|Wensleydale,4.42
Wensleydale,18.06|Cheddar,37.60
Wensleydale,20.28|Swiss,0.62
Wensleydale,10.87|Wensleydale,38.97
Cheddar,16.16|Cheddar,90.63
Swiss,26.07|Swiss,63.87
Swiss,28.81|Swiss,33.45
Swiss,31.62|Cheddar,3.68
Swiss,36.90|Cheddar,61.47
Wensleydale,18.89|Cheddar,23.22
Wensleydale,85.26|Wensleydale,57.30
Wensleydale,23.95|Wensleydale,44.19
Swiss,0.94|Wensleydale,19.70
Wensleydale,10.37|Cheddar,10.11
Cheddar,16.13|Wensleydale,23.07
Wensleydale,34.06|Swiss,2.90
Wensleydale,0.53|Wensleydale,44.03
Swiss,1.89|Swiss,0.35
