Swiss,40.11|Cheddar,59.15
Swiss,35.32|Swiss,71.38
Cheddar,13.31|Wensleydale,7.35
Wensleydale,48.17|Wensleydale,0.38
Swiss,74.20|Cheddar,22.08
Wensleydale,3.12|Cheddar,19.63
Wensleydale,10.13|Swiss,73.29
Wensleydale,67.93|Wensleydale,60.08
Cheddar,35.09|Wensleydale,44.31
Cheddar,21.03|Cheddar,1.00
Swiss,1.95|Cheddar,5.83
Swiss,37.61|Swiss,34.22
Swiss,1.26|Swiss,39.34
Cheddar,14.47|Wensleydale,0.43
Swiss,0.25|Swiss,1.20
Cheddar,26.04|Cheddar,40.43
Wensleydale,31.41|Wensleydale,13.93
Wensleydale,5.72|Cheddar,14.72
Cheddar,2.91|Cheddar,6.49
Swiss,34.23|Wensleydale,28.77
Swiss,9.41|Swiss,14.02
Wensleydale,24.70|Cheddar,2.76
Swiss,0.63|Cheddar,41.01
Cheddar,36.78|Swiss,51.65
Swiss,8.99|Wensleydale,0.58
Wensleydale,39.43|Cheddar,16.15
Swiss,11.93|Swiss,34.67
Swiss,3.11|Cheddar,12.40
Wensleydale,36.44|Wensleydale,19.44
Cheddar,40.12|Cheddar,16.03
Swiss,31.24|Swiss,26.04
Swiss,1.65|Swiss,66.99
Swiss,3.79|Wensleydale,6.75
Cheddar,40.23|Wensleydale,40.75
Swiss,49.00|Swiss,3.40
Swiss,18.58|Cheddar,12.03
Cheddar,33.48|Swiss,20.89
Cheddar,1.66|Cheddar,6.90
Wensleydale,33.64|Cheddar,9.44
Swiss,28.22|Wensleydale,28.95
Cheddar,0.67|Wensleydale,6.43
Swiss,27.63|Swiss,0.08
Swiss,3.15|Wensleydale,4.16
Wensleydale,5.37|Swiss,2.67
Wensleydale,52.12|Cheddar,36.54
Cheddar,36.62|Swiss,9.84
Cheddar,12.20|Wensleydale,30.14
Wensleydale,12.74|Swiss,5.02
Cheddar,41.42|Cheddar,2.60
Swiss,16.68|Swiss,78.06
Swiss,16.58|Cheddar,21.19
Swiss,46.24|Swiss,35.33
Swiss,25.98|Wensleydale,56.05
Cheddar,12.17|Cheddar,21.50
Wensleydale,5.28|Cheddar,61.16
Swiss,16.83|Wensleydale,44.41
Swiss,8.41|Swiss,19.72
Cheddar,44.16|Swiss,25.96
Cheddar,33.87|Swiss,48.60
Swiss,24.56|Wensleydale,5.77
Cheddar,17.11|Cheddar,29.31
Wensleydale,10.70|Swiss,65.48
Swiss,28.76|Wensleydale,39.67
Wensleydale,30.81|Swiss,3.12
Cheddar,40.96|Swiss,11.17
Swiss,13.45|Cheddar,4.00
Cheddar,19.32|Cheddar,10.14
Swiss,33.15|Cheddar,60.53
Swiss,1.21|Wensleydale,30.73
Cheddar,4.76|Swiss,35.79
Wensleydale,74.93|Wensleydale,20.44
Wensleydale,44.59|Wensleydale,10.39
Swiss,42.66|Wensleydale,5.14
Cheddar,36.89|Cheddar,66.57
Wensleydale,31.70|Swiss,57.62
Wensleydale,29.41|Swiss,37.03
Cheddar,0.65|Swiss,24.49
Wensleydale,18.97|Swiss,36.90
Swiss,50.81|Swiss,43.45
Cheddar,54.38|Wensleydale,35.73
Wensleydale,11.35|Swiss,2.56
Swiss,21.85|Wensleydale,0.28
Wensleydale,36.32|Swiss,0.19
Swiss,24.60|Cheddar,14.22
Cheddar,13.13|Cheddar,42.68
Wensleydale,2.20|Cheddar,2.46
Swiss,29.11|Cheddar,2.92
Swiss,41.43|Swiss,5.18
Cheddar,33.06|Cheddar,24.31
Wensleydale,21.04|Swiss,36.59
Swiss,19.53|Swiss,3.68
Wensleydale,19.09|Swiss,21.49
Cheddar,4.45|Wensleydale,2.96
Wensleydale,3.14|Cheddar,8.53
Cheddar,18.68|Swiss,16.28
Wensleydale,35.34|Swiss,10.05
Wensleydale,31.85|Swiss,17.29
Swiss,63.56|Cheddar,3.22
Cheddar,16.15|Cheddar,13.83
Cheddar,63.64|Cheddar,46.23
